brand,stars,title,text
BenJerrys,1,Disappointing Core,"I've never gotten a cookie dough core pint from Ben and Jerry's, but I'll never buy this again. I was expecting it to look the way the caramel core does when you open it, but instead there is such little cookie dough it would've been better to just get a regular cookie dough or half baked pint. If I'm going to spend $5 for a pint, I would at least like to get what is advertised. The same happened with my boyfriend's brownie batter core so this is not just a one time thing, but a consistent problem."
BenJerrys,1,Disappointed,I have been waiting for this to come out at my grocery store. The minute I could buy it I got it. I was really upset. Like many others have said the cookie dough core is sandy and grainy. I was thinking it was going to be like the cookie dough in the normal ice cream. Really upset about this.
BenJerrys,1,Grainy and barely there.,I am a loyal fan and this is the one and only flavor I have thrown away. The pictures make it look amazing and I understand it’s for marketing so variation is expected. That being said the “core” is almost non existent. The bottom half of the ice cream had absolutely no core. The top half had a small chunk. The cookie dough that I did get was grainy and had a funky taste. It wasn’t cookie dough that’s for sure. The ice cream itself was creamy and had a nice flavor but I’m so disappointed that this was such a flop.
BenJerrys,1,Cookie dough is very grainy,Not at all like non core cookie dough which is soft and tastes really good. The core tastes terrible and has a very hard grainy texture. Not good!
BenJerrys,1,"Boring, almost disgusting flavor!","This is the first time I haven't been able to finish a pint of Ben & Jerry's. Tried it and threw the rest away! I love cookie dough ice cream and thought this would be great, only to be extremely disappointed! The vanilla ice cream is almost tasteless, and the cookie dough ""core"" was absolutely gross. It had none of the flavors I would expect from cookie dough, basically just sugar with a few chocolate chips. Plus, the core was half the size of the other flavors! This flavor is a HUGE miss, save yourself the trouble and try the sugar cookie core flavor instead!"
BenJerrys,1,Disappointed,"I wait and waited for this to be available at my local store. Yuck. HARD, grainy, gritty cookie dough core. This is nothing like cookie dough. Don't be fooled the cookie dough center is SMALL. I'm a Ben & Jerry's fan, but you lost me here. So disappointed in my purchase."
BenJerrys,1,"Love B&J, hate this flavor","I literally stalked the grocery stores for this to come out and was so excited to snag it. Super disappointed. I’m a huge fan of B&J and cookie dough ice cream but this was terrible. Agree with other reviewers, the cookie dough was grainy and gritty. I didn’t want to throw it out so I kept eating it, but it took me well over 2 weeks to finish a pint. For context, I’m lucky if a pint lasts three days."
BenJerrys,1,Core is Nasty,I bout the NEW COOKIE DOUGH CORE. Was not good at all when I think of cookie dough it’s soft creamy just like normal cookie dough. It’s like eating sand very big disappointment honestly and I ben&jerrys. Work on this please!
BenJerrys,1,Buy the regular cookie dough version!!,Bought this today and was so disappointed! Cookie dough is nothing like in the reg chocolate chip cookie dough. I thought at first maybe it was supposed to have some kind of swirl in it and never found the cookie dough core like you find with the brownie batter version! It’s awful esp if you thunk your getting the cookie dough like in the reg or the bites. I would give it one star but it won’t let me.
BenJerrys,1,DO NOT BUY,my brother picked this up on accident instead of the regular one. This was horrible. Absolutely the worst thing I’ve tasted in my life. Grainy dry sand as “dough”. Ice cream below par. Horrible choice all around. I’ll never get that 7$ back. ROBBERY!
BenJerrys,1,Should have trusted the bad reviews,Totally disappointed in this flavor. I love Ben & Jerry’s cookie dough. But the cookie dough core was terrible. First of all the core was more like a cone getting smaller the more you dug down and it didn’t go all the way down to the bottom of the pint. And the cookie dough itself was terrible it was grainy and didn’t have the same taste the cookies dough usually has. It tasted like it was heavy on brown sugar or something. It just wasn’t right. Anyway I was sorely disappointed.
BenJerrys,1,Disappointment,"Nope, Nope, Nope! You cannot fool a cookie dough expert. I had my heart set on this having a REAL cookie dough core. Much to my dismay, the core was nothing like the cookie dough in your other ice creams. :("
BenJerrys,1,Worst cookie dough EVER!!,"Now let me just say that chocolate chip cookie dough ice cream is my favorite B&J flavor. I bought this new flavor about a week ago thinking it would be great. How can you go wrong with a choc chip cookie dough core I thought. Boy was I wrong. I took one bite of that cookie dough core, and went ""Blech!"" The ice cream with chocolate bits was good. That was it. What recipe they used to make this cookie dough core is not even close to the taste or consistency of the classic original. The taste is vile. I would not waste your time buying this flavor."
BenJerrys,1,Cookie dough taste is disgusting,If you love the cookie dough from the regular ice cream don't buy this! I don't think I've ever been this disappointed in a Ben and Jerry's flavor. The cookie dough they use for the core is completely different in the worse ways. It's mushy and taste like garbage. It's salty and weird tasting. I like lots of different kinds of cookie dough. I don't think I've ever tasted any kind of cookie dough that I've hated before. Until now. How did this pass taste testing? Good thing there was hardly any core anyway so I can still eat the ice cream part.
BenJerrys,1,Dissapointing,Like most other reviewers i found the core terrible. Bad texture and bad taste.
BenJerrys,1,Disappointed,"I bought this with so much excitement, when I took that first bite into the core, yuck! The cookie dough is just straight sugar, when you chew it your feel the grinds on your teeth. I love the chocolate chip cookie dough ice cream and that is the cookie dough I expected the core to be filled with and boy was I wrong! Do not purchase this kind, you will just end up throwing it away like I did"
BenJerrys,1,That's not dough!,"I was really disappointed with the cookie dough in the core. It was dry and crumbly, not creamy and doughy like the regular CCCD. It also has an off flavor...like they spilled the vanilla when making this crusty old dough. The ice cream part was decent. I saw somebody else noted a big air bubble at the bottom. I'm had the same experience. I do not recommend and will not purchase again."
BenJerrys,1,Bad Mistake,"My family bought this on accident thinking it was the regular cookie dough recipe. I tried it anyways and it was way too sweet. The cookie milk was not a smart move, there was nothing to offset the sweetness of the cookie dough. Cookie dough with just vanilla is much better in my opinion. Also, the cookie dough was very grainy and mostly tasted like straight up sugar."
BenJerrys,1,Not enough cookie dough,"I loooove cookie dough ice cream. When I saw the core on the package I was like “heck yes! Extra cookie dough!” Psych! There’s like NONE and it’s impossible to scoop out. Then, the cookie dough itself is disgusting! It tastes like how I imagine literal fish food would. I absolutely hate it and I genuinely think it was a waste of my money."
BenJerrys,1,So disappointed,"I’m so sad I wasted $12 on this ice cream, I am in Australia and I was so excited to try this and i am so let down I didn’t even eat it. The cookie dough is grainy and tastes nothing like the cookie dough that’s in the rest of the flavours, and the “fudge” pieces are just dark chocolate. Do not waste your money!"
BenJerrys,1,The worst cookie dough!,One of my favorite flavors is the cookie dough. Expectations were highly disappointed when the same cookie dough recipe was not in this cookie dough core flavor. I’m not even sure it’s cookie dough. I think it’s pure brown sugar. Will not buy this flavor again unless they put the original cookie dough in it!
BenJerrys,1,Ehh,"Im eating this flavor as we speak and the other reviews are right! Tastes NOTHING like the cookie doigh in the other flavors. It has a sandy, gritty texture like chewing on sugar. Im going to finish it though because the rest of it is alright. But yeah i’ll just stick to my favorite one , Half Baked!!!"
BenJerrys,1,Extremely dissappointed! Don't waste your money!!,"I've bought this a few different times, each time hoping it would be better than the last. I kept thinking ""okay, I must have had bad luck and gotten a bad batch"". Unfortunately after buying approximately 5 to 6 pints, I've come to the conclusion that this just isn't good in any way. The ""cookie milk"" ice cream just tastes like regular old vanilla but with a slightly weird taste and extremely weird aftertaste. The ""cookie dough"" core (which, in my opinion, is supposed to be the best part and main attraction) was horrible! Did NOT taste like cookie dough AT ALL! Even the texture was so, soooooo off! Just like all the other reviews say - TASTES LIKE SWEETENED SAND! Now don't get my wrong - I am usually a HUGE fan of B&J's - however this particular flavor just is completely so far off from the quality I've come to know and love, and expect from this brand. This could have been an amazing and wonderful flavor but unfortunately this missed the mark. Extremely dissappointed, B&J's!! Do better!!"
BenJerrys,1,awful texture,"Was so excited to try this because I love Chocolate Chip Cookie Dough. I experienced disappointment at the first bite. The Cookie Chip Dough Core was like eating super gritty sugar sand. I am hoping Ben & Jerry will switch and use their original Cookie Dough recipe in this new ""core"" ice cream."
BenJerrys,1,Stick to Chocolate Chip Cookie Dough,"The ratio of cookie dough to ice cream is off. By the time you get to the bottom of the pint, all that's left is the vanilla ice cream with little chocolate bits. You're better off getting chocolate chip cookie dough which is more consistent and has a better cookie dough-to-ice cream ratio."
BenJerrys,1,Cookie core is nasty,"I just had this ice cream a hour ago, the actually ice is not bad at all but the cookie dough just ruined it for me. It tasted so gritty , I thought maybe I should mix it up and it made it even worse. I ended up scooping as much of the cookie dough out that I could. Smh"
BenJerrys,1,Not what I expected,"Listen to the bad reviews. the core does not taste like their regular cookie dough. It tastes grainy, like brown sugar. And the rest of it is just chocolate chip ice cream. So nothing exciting. The wake and bake ice cream core was the same. Super grainy."
BenJerrys,1,Waste of money,"AWFUL. I’m a huge fan of Ben & Jerrys cookie dough and this was such a disappointment. The cookie dough core crumbles and is as hard as a rock. It’s grainy and tastes terrible, too."
BenJerrys,1,No core,"I bought this for the cookie dough core and there is no cookie dough core.. this is the second pint of ""core"" I've cream that didn't even have a core. I'm really disappointed."
BenJerrys,1,Terrible,"Ice cream tasted like artificial sweeteners and the core was nothing like cookie dough in taste or texture. Was very disappointed, totally not worth the price (or calories)"
BenJerrys,1,the core is quite awful...,"The cookie dough core taste terrible, like it has some kind of sweeteners in it. the after taste lingers like sour milk...don't buy this!"
BenJerrys,1,Grainy cookie dough,"I was looking forward to trying this, but it was a let down. The ice cream was decent, but the cookie dough core was grainy and sad."
BenJerrys,1,HORRIBLE DISAPPOINTMENT,"I was excited to get Ben&Jerrys ice cream after a long time. I expected it to be another amazing experience. I brought this Pint of I cream only to find that the cookie dough core was small, it wasn’t EVEN A CORE! It was off to the side, fell apart. It’s a whole scam idk why they even continue to sell this Ice cream in this condition. I should have checked the reviews. Y’all obviously don’t pay attention to customer reviews cause you would notice this is unacceptable. Smh"
BenJerrys,1,Grainy “cookie dough” core,This is terrible! The cookie dough core is basically brown sugar with chocolate. I wish I could get my money back.
BenJerrys,1,More cookie,I’m pretty sure there is less cookie dough in throw then there is in the regular one
BenJerrys,1,No cookie dough in this version,Tried this for the first time and the other reviews summarized it perfectly.
BenJerrys,1,Something is very wrong,"I regularly purchace and enjoy the Chocolate Chip Cookie Dough ice cream so I thought I'd try the new Core version that had just arrived in NZ. What a big mistake, it is disgusting. It does not taste the same and the cookie dough is awful, its grainy and basically inedible. I deeply regret straying away from the normal version and strongly recommend people read and heed the advice of the majority of other reviews here and avoid this strange disastrous flavour!"
BenJerrys,1,Great Potential -- Poor Exection,"My all-time favorite ice cream is, hands down, original cookie dough by Ben and Jerry's. So I was thrilled to see they had a core version featuring cookie dough as its magical center. Boy was I disappointed to taste the grainy, overly sugary, poor substitute they chose to use in place of their original cookie dough recipe. Ben and Jerry, please rework this product and try using your original winner of a recipe for the cookie dough core!"
BenJerrys,1,Bad Texture!,"I bought this today at my local HEB, and thought I would try it since I love the chocolate chip cookie dough, honestly because I love cookie dough, but the cookie dough in this ice cream is grainy. It is hard to scoop because of the grainy texture, making it hard to actually enjoy the ice cream. The ice cream itself is amazing, but what’s the point of buying chocolate chip cookie dough ice cream, if you don’t enjoy the cookie dough."
BenJerrys,1,This girl needed ice cream better than that :(,"I'm sick and all I wanted was cookie dough ice cream. I couldn't find the classic that I could always count on, so I went with this. The core was a crumbly texture and it tasted like I was eating clumps of brown sugar. The ice cream flavor just tasted like milk with unsweetened chocolate and I am not a fan of solid milk. I recomend bringing back the original cookie dough ice cream. :( Seriously so sad and disappointed."
BenJerrys,1,Ice Cream Failure,"My husband loves all ice cream. But not this one. I gave it to him after I decided I couldn't eat it. We both agree the ice cream tastes like rice pudding with a lot of water and the cookie dough core does not taste anywhere near as delicious as Ben and Jerry's cookie dough. We haven't had a bad Ben & Jerry's flavor until this one! If you're craving cookie dough, go with any of their other cookie dough varieties."
BenJerrys,1,Disappointed,I bought this because the store i went to didn’t have my favorite chocolate chip cookie dough pint. I figured it may be just as good since it still is cookie dough. I was wrong and extremely disappointed. The core was crispy and broke every time I tried to scoop it. The flavor was more like toasted piece of bread than cookie. I will stick with the original chocolate chip cookie dough which has never let me down.
BenJerrys,1,Horrible- Gritty and Grainy and Gross,This was a perfect example of a marketing bumble. If I get a spoonful of ice cream I want each bite to have a little bit of goodness in it. I shouldn’t have to go digging for it. The “core” is nothing but a grainy sugar that is flavoured with something that vaguely represents dough. I can actually imagine the assembly line pumping out this stuff. Soooo disappointing.
BenJerrys,1,So disappointed,I saw the ad and went to the grocery store that night to buy some. I ate around the cookie dough core bc it was so grainy and sugary and not anything like the cookie dough in the other ice creams that it wasn’t even worth it. Let’s be honest - there’s so many calories in these pints that if I’m going to eat it I need to love it and this was way below par
BenJerrys,1,Be warned!,I was so excited for this ice cream as chocolate chip cookie dough it my favorite..I was expecting a core of cookie dough with the same taste and texture of the bits in the regular ice cream. Instead it is gritty and doesn't even taste like cookie dough. I am extremely dissatisfied. Even my 11 year old son thinks it's terrible. Please reformulate!
BenJerrys,1,Off Texture,"Ben and Jerry's Ice cream has been my favorite since I was a little kid, however...this one the textures were off. The cookie dough was grainy and tasted like flour or another ingredient was missing. The ice cream was icey in texture, not creamy. I had to double check I didn't get a frozen yogurt version. Wondering if the batch was off?"
BenJerrys,1,Where is the cookie dough??,I was expecting to be overwhelmed with cookie dough deliciousness however I am left wondering what went wrong. There was no “core” and really no cookie dough. The ice cream in my opinion is ok but the lack of cookie dough was super disappointing. There is way more dough in the original. My advice skip this one.
BenJerrys,1,Not what I expected,"I tried this thinking it would be as good as regular cookie dough. I was highly disappointed. The ""core"" was not anything like the regular cookie dough. It was very grainy and sugary. Also, the pint was not fully filled. There was an empty space about 2/3 the way down. I will not buy this product again."
BenJerrys,1,Disappointed,"I was so excited to try this ice cream since cookie dough ice cream is my favorite. I was very disappointed in the cookie dough ""core"" it was very chalky and almost sand like. The flavor of cookie dough was not there at all. And the core was more of a sliver. Really hoped this would have been better."
BenJerrys,1,Not the same as their cookie dough ice cream,I bought this thinking that it would be the same cookie dough as what's in their regular ice cream that I like but this cookie dough tastes like watery sand. I would love to see this product made with the same cookie dough in the core as what's in the regular chocolate chip cookie dough ice cream.
BenJerrys,1,So Sad,"This had great potential - you guys should have stuck to your regular cookie dough... no cookie dough lover would enjoy this... the ""dough"" core is gritty, the texture is horrible, its like eating sand in your ice cream. nasty. I love ben and jerrys but this is a big let down remake the recipe!!!"
BenJerrys,1,Unfortunately not good,"I eat a lot of Ben and Jerry's, like a lot. And I was so stoked to see this flavor because I love the cookie dough in your other ice creams. Unfortunately mine was as everyone else described. The cookie dough was too runny, and tasted like melted butter. The ice cream itself was great as always."
BenJerrys,1,So so bad,"I bought this since there was no choc chip cookie dough in stock and figured it would be similar. The dough is like eating unprocessed brown sugar, grainy and way too sweet. The ice cream is fine, but I still threw it all away because the dough is so bad. DO NOT BUY THIS FLAVOR, EEEEEKKKKK!!"
BenJerrys,1,Cookie dough core is gross,"I wanted to try the core ice cream so bad so even though it wasn’t on sale I went ahead and bought it cause it looked soooooo good, honestly it’s the most nastiest ice cream I’ve ever tried!!! The core has such a weird texture to it, and taste nothing like cookie dough, super disappointed"
BenJerrys,1,So disappointed,"I just picked this up and was excited to have more cookie dough... But I almost couldn't find any. I had three small little spots of cookie dough and it was very grainy, not like the cookie dough in the original cookie dough ice cream. Will NOT be buying this one again. Wasted my money"
BenJerrys,1,Texture is off.,"Cookie dough ice cream is my favorite. While the flavor is fine, I don’t enjoy the texture of the cookie dough core. It’s almost just like flavored sugar, and doesn’t really provide the cookie dough feel. Overall, it’s not bad, I was just craving cookie dough and this missed the mark."
BenJerrys,1,Expected so much more,"I have been anxiously waiting for this flavor to hit stores near me, and I finally found it today. Was soooo excited to try it out! However, was extremely disappointed when the “cookie dough” core didn’t even taste like cookie dough! Not even close on texture or flavor unfortunately."
BenJerrys,1,Worst flavor ever,I bought this a week ago at Walmart Neighborhood Market and I was so excited to try it. But then the moment came that I did and it was terrible! There hardly any cookie dough pieces and the core was grainy and gross. Do not buy this flavor it is the worst I’ve ever had.
BenJerrys,1,it's not cookie dough,"got this Sunday and was so excited to try it, as my local store was out of the kind my boyfriend likes (chubby hubby) and it was like eating brown sugar bombs. there was no cookie dough. maybe the ice cream box got mixed up when it was being packaged. I was NOT a fan"
BenJerrys,1,Disappointing,"The cookie dough core is a grainy sugar mess! The ice cream itself is also a huge letdown. It tastes nothing like the delicious chocolate chip ice cream in the usual cookie dough flavor. I have no desire to finish the carton, and I’ll never purchase it again."
BenJerrys,1,Bring back the original!,Chocolate Chip Cookie Dough used to be my FAVORITE B&J ice cream. I just tried the NEW Cookie Dough Core. The Cookie Dough in the new version has a strange taste and texture (not strange good). Please bring back the previous product. Pretty please.
BenJerrys,1,Gross,This was disgusting. I expected the cookie dough from the normal ice cream or half baked and what I got was a gritty mess. The ice cream wasn’t terrible but the cookie dough solidified my feelings. Skip this. Get the normal cookie dough instead.
BenJerrys,1,Nope!,"I was so excited for this to come out! Ben & Jerry's cookie dough is my favorite. However, the cookie dough core was just a gritty disappointment. The cookie dough core is so grainy and sand-like. I hope they reformulate and try again!"
BenJerrys,1,Save your money,I hope this isn't going to replace the regular chocolate chip cookie dough. It's more like a container of chocolate chip with hardly any cookie dough. The cookie dough doesn't even taste the same. I won't be buying this again
BenJerrys,1,Recipe changed,I bought this 4 days ago because I couldn’t find my regular chocolate chip cookie dough. Not only does the cookie dough recipe taste different but so does the ice cream I’m so disappointed. I will be going back to Hagen Diaz.
BenJerrys,1,Least favorite flavor,"This is my new least fave, even worse than Schweitzer’s Balls. The ice cream doesn’t have much flavor, just sweet. The core is puny: maybe 2-3 bites. The flavor of the core is ok (the only redeeming feature) but grainy"
BenJerrys,1,Ewww,Should have read the reviews first. I don’t even mind the grainy texture of the cookie dough. But it tastes horrible! Not like cookie dough at all. This could have been amazing. Super disappointed.
BenJerrys,1,Just gross.,"This ice cream tastes cheap and gross. I usually love all their stuff but this one was just nasty. The ""icecream"" tasted like they just froze a cup of milk and the cookie dough was grainy and crumbly."
BenJerrys,1,pretty disgusting,"the cookie milk ice cream is okay, chocolate chips are chocolate chips...but wow that cookie dough core is gross. so horribly grainy and not a good flavor. they should really offer people a refund"
BenJerrys,1,The worst one i ever had!!,I bought one because i love cookie dough. Ben and Jerry's is my favorite icecream after one bite I was so disappointed! The texture of it was the worst I couldn't eat I throw it in the trash.
BenJerrys,1,Sorry I bought it,The cookie dough core tasted more like a scoop of brown sugar with some chip chunks in it. I’m sorry but there was nothing cookie dough about it. Totally disappointed and a waste of money.
BenJerrys,1,Barely any cookie dough,This pint tastes great but feels like it has way less cookie dough than the regular one. I waited months for this and was really disappointment.
BenJerrys,1,nasty,ice cream is good but the cookie dough taste like brown sugar and butter . nothing like cookie dough it’s like sand dissolving on your tongue
BenJerrys,1,Cookie core grainy,"The core is grainy, cumbly, and nothing like the dough balls in regular cookie dough. :( Please rework the core!"
BenJerrys,1,Disappointing,"The core was a terrible texture, and barely had any flavor. Super grainy. Back to the regular cookie dough...."
BenJerrys,1,Hope this isn't replacing the regular cookie dough,"After being spoiled by chocolate chip cookie dough, my expectations were too high. Disappointed."
BenJerrys,1,Nope not close,"Ben and Jerrys fan since they started. This one falls way short. Minimal core, nothing special."
BenJerrys,1,Not Good,This was just a core of grainy sugar. Yuck never buying this again
BenJerrys,1,Expected Better.,How did you guys mess this up? It could have been so good.
BenJerrys,1,Awful cookie dough,The cookie dough sucked.i repeat The cookie dough sucked.
BenJerrys,1,Whatever,Was no cookie dough at all. Ripoff. So enraged ...
BenJerrys,1,PLEASE IMPROVE IT.,"I am a loyal Ben and Jerry's customer and most of their flavors are amazing and when I saw this in the store I was so excited to try it. But I am beyond disappointed in this. First I will say that the cookie milk ice cream part is DELICIOUS. I wouldn't change anything about the cookie milk ice cream. However, I was looking forward to a big center of that same delicious cookie dough that's in the other pints of ice cream (like the half baked). But instead, after digging through all the cookie milk ice cream I found a tiny little section of cookie dough, not even a core. Just a chunk on the side of cookie dough that isn't even actual cookie dough. It LITERALLY tastes like sugary sand and has a grainy texture. Nothing like the cookie dough I always enjoy in the other flavors."
HaagenDazs,1,So Disappointed to Have Bought These By Mistake,"I was looking forward to the decadent treat that is the chocolate bar with dark chocolate coating, so was disappointed and frankly sort of sort of grossed out by what I bought instead. During the current COVID nightmare, I have turned to HD ice cream as my guilty pleasure - every night just about! I love the squares with the “cake” layer that I discovered recently (but the calories, I don’t even want to guess) but also love the tried and true hard chocolate on chocolate bars. But the texture of the “soft dip” turned me off completely and the ice cream too does not seem as rich and creamy. I won’t get used to this product and indeed, gave the remaining two bars away."
HaagenDazs,1,Terrible - Go Back To The Original Recipe,"I have been eating the chocolate bars for many years. I have loved them and purchase them all of the time. This new ""Soft Dipped"" is not even close to the way it used to be and I think is a very bad decision on the part of the company. I have no idea what research (if any) came up with this idea, but it may be one of the worst since Coca-Cola changed its formula. I bought three boxes. I ate one bar so far, and am not looking forward to eating the other eight. Shame, shame, shame."
HaagenDazs,1,Cost-reducing version with more sugar,"In addition to quietly reducing weight from 82 g to 77 g per bar (i.e. >6% reduction), the so-called ""soft dipped"" with ""soft chocolate truffle coating"" is loaded with more sugar, whose granularity can be felt right away--a hallmark of cheap chocolates--and palm oil instead of cocoa butter (apparently HD knows how to get around FDA's definition of chocolate; using the adjective ""chocolaty"" let them get away with less-expensive non-cocoa butter). BTW, increasing the sugar content is primarily responsible for the softness since sugar lower the freezing point."
HaagenDazs,1,Chocolate ice cream is not creamy or tasty.,"Admittedly I haven't had Haagen Daz very regularly for years now. I remember their ice cream being thick, rich and creamy. The chocolate inside this bar is nothing like I remember their chocolate tasting like. It's flavorless and icy. It tastes like some kind of low fat alternative or vegan ice cream."
HaagenDazs,1,So disappointing - don't taste like anything!,I just gave one of these bars a second chance thinking a Haagen Dazs bar had to be better than what I remembered these bars tasting like. The texture of both the ice cream and chocolate coating is off and there's no flavor at all- very unsatisfying. I definitely wouldn't buy these again.
HaagenDazs,1,Horrible,"Bought these by mistake. Icky waxy fake chocolate tasting coating that sticks to your teeth -- and hands and clothes and anything else in the vicinity. Like other reviewers, I peeled the nasty coating off and just ate the vanilla ice cream."
HaagenDazs,1,Disappointed,"When I saw the package, I was so excited. Yet, when I got home and had my first bite on it, disappointment came in. The ice cream inside is plain. For the soft chocolate coating, the texture is alright, and somehow expected as it is soft dipped, but the flavour isn't that chocolaty. Overall, it is far worse than the experience the Belgium chocolate flavour pint ice cream can provide me. It is not the quality I would expect from Haagen Dazs."
HaagenDazs,1,Very Disappointing,"This is so far below the quality that I expect from Haagen-Daz. I bought these to see what ""soft dipped"" would taste like. Although the texture of the chocolate is not for me, it tasted ok. My problem is that it tastes like dark chocolate which is not stated on the label. The real disappoint was the ice cream, which was icy, tasteless, and nothing at all like a regular HD ice cream bar. I will definitely NOT be buying these again."
HaagenDazs,1,NOT Good,"I normally LOVE dark chocolate ganache, but the ganache coating on these bars is bitter and gritty. The ice cream doesn't taste like premium ice cream. It tastes like cheap store brand ice cream with a bunch of those various gums and no egg yolk. I bought all 3 flavors and threw them out. Such a waste of money for a low income family. These are not up to par with the quality products that Haagen Dasz used to make."
HaagenDazs,1,Not a fan off soft coating,I bought these because the original wasn’t in stock. Don’t like the soft coating but at least it peels off easily to eat the ice cream so it’s not a total waste of money.
HaagenDazs,1,Super chalky taste,"Very disappointed- first because i thought I got vanilla, second because the chocolate ice cream is super chalky taste- bummed!"
HaagenDazs,1,Thick slimy chocolate coating,Yuck! The chocolate is thick and somewhat slimy. Not a good product.
